6,2,10,4
2,0,1,0
4,0,2,2
18,31,29,0
2,1,1,1
24,22,1,16
18,12,15,4
2,0,5,2
81,22,40,9
18,20,62,10
20,10,6,2
1,1,0,0
0,0,0,2
1,1,3,2
1,2,0,1
1,0,0,0
36,22,0,6
3,3,5,4
4,0,0,0
0,0,0,1
2,2,2,4
0,0,1,3
9,7,15,6
4,4,4,3
0,0,0,2
20,180,1,117
2,3,5,2
0,0,0,2
5,0,0,1
3,3,15,4
4,1,0,0
5,4,6,6
10,4,13,10
0,1,0,0
0,0,0,3
0,1,2,2
0,8,2,2
1,2,9,6
234,213,209,111
0,3,0,1
3,4,3,4
1,6,4,1
29,46,41,40
0,0,0,1
0,0,1,0
1,0,0,0
4,3,3,3
5,3,4,3
7,6,12,7
13,0,15,14
0,0,1,0
22,6,0,0
66,65,66,27
3,2,5,3
4,2,6,4
6,6,3,15
19,10,27,16
0,1,2,0
4,15,5,10
1,6,5,2
3,5,3,6
2,0,0,0
1,0,1,0
10,0,4,5
0,0,0,2
3,5,5,4
5,1,13,8
4,3,2,11
31,41,23,43
0,0,0,1
9,3,4,2
8,8,2,1
2,5,2,4
2,5,2,0
21,20,15,13
4,4,5,4
0,1,1,2
0,4,1,0
0,1,0,0
22,14,7,8
2,2,2,6
3,3,4,3
0,0,4,1
0,1,0,1
1,2,0,0
12,17,2,16
3,4,0,3
6,4,5,3
4,5,6,5
2,2,2,2
1,2,2,2
4,2,4,2
2,2,2,2
1,0,11,5
0,0,0,7
19,8,19,17
0,0,0,6
2,0,0,0
0,1,4,22
12,7,23,40
14,18,10,14
2,2,2,3
9,2,4,6
18,5,72,9
8,0,3,0
2,2,0,2
3,8,3,10
59,0,0,0
9,3,2,3
8,3,7,7
3,1,1,0
12,12,10,9
21,36,17,23
47,22,40,43
1,0,0,0
8,44,10,51
0,2,5,3
0,2,4,6
2,3,2,2
0,2,1,2
2,2,2,2
6,11,6,14
1,10,8,12
1,2,11,3
2,4,3,3
0,0,0,1
3,2,3,2
4,2,4,7
2,1,1,1
0,1,0,0
5,2,2,2
6,7,5,3
2,2,2,2
5,6,5,5
1,0,0,0
6,2,14,1
20,50,22,33
1,2,4,2
2,2,1,2
1,7,6,3
1,5,1,0
52,3,20,28
10,4,4,1
0,9,22,22
17,49,8,5
80,13,63,11
2,1,4,3
0,1,3,3
9,14,14,9
0,0,0,2
3,4,6,8
0,0,4,1
6,6,1,2
33,50,7,0
3,2,4,2
4,10,6,14
2,2,2,2
1,2,1,0
0,1,2,4
2,2,2,2
2,0,2,3
3,3,5,2
3,0,2,2
2,2,3,2
8,9,4,2
4,0,6,2
6,2,6,2
5,2,6,2
2,2,2,2
2,1,2,2
3,2,6,25
4,3,1,3
4,3,5,0
2,3,0,8
4,2,3,4
1,3,0,1
0,0,1,0
2,2,3,2
